".ci",".ri","ds0.p_adjusted","ds0.neglog10_p_adjusted"
0,0,1,0
1,0,1,0
0,1,1,0
1,1,1,0
2,0,1,0
3,0,1,0
2,1,1,0
3,1,1,0
0,2,1,0
1,2,1,0
0,3,1,0
1,3,1,0
2,2,1,0
3,2,1,0
2,3,1,0
3,3,1,0
4,0,1,0
4,1,1,0
4,2,1,0
4,3,1,0
0,4,1,0
1,4,1,0
0,5,1,0
1,5,1,0
2,4,1,0
3,4,1,0
2,5,1,0
3,5,1,0
0,6,1,0
1,6,1,0
0,7,1,0
1,7,1,0
2,6,1,0
3,6,1,0
2,7,1,0
3,7,1,0
4,4,1,0
4,5,1,0
4,6,1,0
4,7,1,0
0,8,1,0
1,8,1,0
0,9,1,0
1,9,1,0
2,8,1,0
3,8,1,0
2,9,1,0
3,9,1,0
0,10,1,0
1,10,1,0
0,11,1,0
1,11,1,0
2,10,1,0
3,10,1,0
2,11,1,0
3,11,1,0
4,8,1,0
4,9,1,0
4,10,1,0
4,11,1,0
0,12,1,0
1,12,1,0
0,13,1,0
1,13,1,0
2,12,1,0
3,12,1,0
2,13,1,0
3,13,1,0
0,14,1,0
1,14,1,0
0,15,1,0
1,15,1,0
2,14,1,0
3,14,1,0
2,15,1,0
3,15,1,0
4,12,1,0
4,13,1,0
4,14,1,0
4,15,1,0
0,16,1,0
1,16,1,0
0,17,1,0
1,17,1,0
2,16,1,0
3,16,1,0
2,17,1,0
3,17,1,0
0,18,1,0
1,18,1,0
0,19,1,0
1,19,1,0
2,18,1,0
3,18,1,0
2,19,1,0
3,19,1,0
4,16,1,0
4,17,1,0
4,18,1,0
4,19,1,0
0,20,1,0
1,20,1,0
0,21,1,0
1,21,1,0
2,20,1,0
3,20,1,0
2,21,1,0
3,21,1,0
0,22,1,0
1,22,1,0
0,23,1,0
1,23,1,0
2,22,1,0
3,22,1,0
2,23,1,0
3,23,1,0
4,20,1,0
4,21,1,0
4,22,1,0
4,23,1,0
0,24,1,0
1,24,1,0
0,25,1,0
1,25,1,0
2,24,1,0
3,24,1,0
2,25,1,0
3,25,1,0
0,26,1,0
1,26,1,0
0,27,1,0
1,27,1,0
2,26,1,0
3,26,1,0
2,27,1,0
3,27,1,0
4,24,1,0
4,25,1,0
4,26,1,0
4,27,1,0
0,28,1,0
1,28,1,0
0,29,1,0
1,29,1,0
2,28,1,0
3,28,1,0
2,29,1,0
3,29,1,0
0,30,1,0
1,30,1,0
0,31,1,0
1,31,1,0
2,30,1,0
3,30,1,0
2,31,1,0
3,31,1,0
4,28,1,0
4,29,1,0
4,30,1,0
4,31,1,0
0,32,1,0
1,32,1,0
0,33,1,0
1,33,1,0
2,32,1,0
3,32,1,0
2,33,1,0
3,33,1,0
0,34,1,0
1,34,1,0
0,35,1,0
1,35,1,0
2,34,1,0
3,34,1,0
2,35,1,0
3,35,1,0
4,32,1,0
4,33,1,0
4,34,1,0
4,35,1,0
0,36,1,0
1,36,1,0
0,37,1,0
1,37,1,0
2,36,1,0
3,36,1,0
2,37,1,0
3,37,1,0
0,38,1,0
1,38,1,0
0,39,1,0
1,39,1,0
2,38,1,0
3,38,1,0
2,39,1,0
3,39,1,0
4,36,1,0
4,37,1,0
4,38,1,0
4,39,1,0
0,40,1,0
1,40,1,0
0,41,1,0
1,41,1,0
2,40,1,0
3,40,1,0
2,41,1,0
3,41,1,0
0,42,1,0
1,42,1,0
0,43,1,0
1,43,1,0
2,42,1,0
3,42,1,0
2,43,1,0
3,43,1,0
4,40,1,0
4,41,1,0
4,42,1,0
4,43,1,0
0,44,1,0
1,44,1,0
0,45,1,0
1,45,1,0
2,44,1,0
3,44,1,0
2,45,1,0
3,45,1,0
0,46,1,0
1,46,1,0
0,47,1,0
1,47,1,0
2,46,1,0
3,46,1,0
2,47,1,0
3,47,1,0
4,44,1,0
4,45,1,0
4,46,1,0
4,47,1,0
0,48,1,0
1,48,1,0
0,49,1,0
1,49,1,0
2,48,1,0
3,48,1,0
2,49,1,0
3,49,1,0
0,50,1,0
1,50,1,0
0,51,1,0
1,51,1,0
2,50,1,0
3,50,1,0
2,51,1,0
3,51,1,0
4,48,1,0
4,49,1,0
4,50,1,0
4,51,1,0
0,52,1,0
1,52,1,0
0,53,1,0
1,53,1,0
2,52,1,0
3,52,1,0
2,53,1,0
3,53,1,0
0,54,1,0
1,54,1,0
0,55,1,0
1,55,1,0
2,54,1,0
3,54,1,0
2,55,1,0
3,55,1,0
4,52,1,0
4,53,1,0
4,54,1,0
4,55,1,0
0,56,1,0
1,56,1,0
0,57,1,0
1,57,1,0
2,56,1,0
3,56,1,0
2,57,1,0
3,57,1,0
0,58,1,0
1,58,1,0
0,59,1,0
1,59,1,0
2,58,1,0
3,58,1,0
2,59,1,0
3,59,1,0
4,56,1,0
4,57,1,0
4,58,1,0
4,59,1,0
0,60,1,0
1,60,1,0
0,61,1,0
1,61,1,0
2,60,1,0
3,60,1,0
2,61,1,0
3,61,1,0
0,62,1,0
1,62,1,0
0,63,1,0
1,63,1,0
2,62,1,0
3,62,1,0
2,63,1,0
3,63,1,0
4,60,1,0
4,61,1,0
4,62,1,0
4,63,1,0
0,64,1,0
1,64,1,0
0,65,1,0
1,65,1,0
2,64,1,0
3,64,1,0
2,65,1,0
3,65,1,0
0,66,1,0
1,66,1,0
0,67,1,0
1,67,1,0
2,66,1,0
3,66,1,0
2,67,1,0
3,67,1,0
4,64,1,0
4,65,1,0
4,66,1,0
4,67,1,0
0,68,1,0
1,68,1,0
0,69,1,0
1,69,1,0
2,68,1,0
3,68,1,0
